date,Cough_unscaled,Cough_monthly,isPartial,scale,Cough
2020-01-01,85,,,,
2020-01-02,100,,,,
2020-01-03,93,,,,
2020-01-04,99,,,,
2020-01-05,88,57.0,False,0.57,50.16
2020-01-06,75,57.0,,0.57,42.74999999999999
2020-01-07,78,57.0,,0.57,44.459999999999994
2020-01-08,82,57.0,,0.57,46.739999999999995
2020-01-09,77,57.0,,0.57,43.88999999999999
2020-01-10,77,57.0,,0.57,43.88999999999999
2020-01-11,75,57.0,,0.57,42.74999999999999
2020-01-12,73,52.0,False,0.52,37.96
2020-01-13,68,52.0,,0.52,35.36
2020-01-14,74,52.0,,0.52,38.480000000000004
2020-01-15,69,52.0,,0.52,35.88
2020-01-16,77,52.0,,0.52,40.04
2020-01-17,79,52.0,,0.52,41.08
2020-01-18,73,52.0,,0.52,37.96
2020-01-19,72,51.0,False,0.51,36.72
2020-01-20,72,51.0,,0.51,36.72
2020-01-21,72,51.0,,0.51,36.72
2020-01-22,76,51.0,,0.51,38.76
2020-01-23,81,51.0,,0.51,41.31
2020-01-24,74,51.0,,0.51,37.74
2020-01-25,82,51.0,,0.51,41.82
2020-01-26,75,55.0,False,0.55,41.25
2020-01-27,71,55.0,,0.55,39.050000000000004
2020-01-28,82,55.0,,0.55,45.1
2020-01-29,76,55.0,,0.55,41.800000000000004
2020-01-30,72,55.0,,0.55,39.6
2020-01-31,69,55.0,,0.55,37.95
2020-02-01,95,55.0,,0.55,52.25000000000001
2020-02-02,92,53.0,False,0.53,48.760000000000005
2020-02-03,75,53.0,,0.53,39.75
2020-02-04,97,53.0,,0.53,51.410000000000004
2020-02-05,89,53.0,,0.53,47.17
2020-02-06,95,53.0,,0.53,50.35
2020-02-07,92,53.0,,0.53,48.760000000000005
2020-02-08,90,53.0,,0.53,47.7
2020-02-09,96,52.0,False,0.52,49.92
2020-02-10,89,52.0,,0.52,46.28
2020-02-11,95,52.0,,0.52,49.4
2020-02-12,94,52.0,,0.52,48.88
2020-02-13,94,52.0,,0.52,48.88
2020-02-14,78,52.0,,0.52,40.56
2020-02-15,92,52.0,,0.52,47.84
2020-02-16,100,53.0,False,0.53,53.0
2020-02-17,93,53.0,,0.53,49.29
2020-02-18,96,53.0,,0.53,50.88
2020-02-19,89,53.0,,0.53,47.17
2020-02-20,81,53.0,,0.53,42.93
2020-02-21,83,53.0,,0.53,43.99
2020-02-22,94,53.0,,0.53,49.82
2020-02-23,92,53.0,False,0.53,48.760000000000005
2020-02-24,80,53.0,,0.53,42.400000000000006
2020-02-25,84,53.0,,0.53,44.52
2020-02-26,95,53.0,,0.53,50.35
2020-02-27,90,53.0,,0.53,47.7
2020-02-28,89,53.0,,0.53,47.17
2020-02-29,96,53.0,,0.53,50.88
2020-03-01,52,60.0,False,0.6,31.2
2020-03-02,54,60.0,,0.6,32.4
2020-03-03,51,60.0,,0.6,30.599999999999998
2020-03-04,52,60.0,,0.6,31.2
2020-03-05,55,60.0,,0.6,33.0
2020-03-06,52,60.0,,0.6,31.2
2020-03-07,52,60.0,,0.6,31.2
2020-03-08,56,81.0,False,0.81,45.36
2020-03-09,57,81.0,,0.81,46.17
2020-03-10,58,81.0,,0.81,46.980000000000004
2020-03-11,63,81.0,,0.81,51.03
2020-03-12,81,81.0,,0.81,65.61
2020-03-13,79,81.0,,0.81,63.99
2020-03-14,100,81.0,,0.81,81.0
2020-03-15,86,100.0,False,1.0,86.0
2020-03-16,88,100.0,,1.0,88.0
2020-03-17,86,100.0,,1.0,86.0
2020-03-18,87,100.0,,1.0,87.0
2020-03-19,88,100.0,,1.0,88.0
2020-03-20,91,100.0,,1.0,91.0
2020-03-21,83,100.0,,1.0,83.0
2020-03-22,80,84.0,False,0.84,67.2
2020-03-23,78,84.0,,0.84,65.52
2020-03-24,71,84.0,,0.84,59.64
2020-03-25,74,84.0,,0.84,62.16
2020-03-26,71,84.0,,0.84,59.64
2020-03-27,69,84.0,,0.84,57.96
2020-03-28,68,84.0,,0.84,57.12
2020-03-29,64,66.0,False,0.66,42.24
2020-03-30,62,66.0,,0.66,40.92
2020-03-31,60,66.0,,0.66,39.6
2020-04-01,100,66.0,,0.66,66.0
2020-04-02,93,66.0,,0.66,61.38
2020-04-03,80,66.0,,0.66,52.800000000000004
2020-04-04,97,66.0,,0.66,64.02
2020-04-05,81,52.0,False,0.52,42.120000000000005
2020-04-06,85,52.0,,0.52,44.2
2020-04-07,85,52.0,,0.52,44.2
2020-04-08,74,52.0,,0.52,38.480000000000004
2020-04-09,73,52.0,,0.52,37.96
2020-04-10,68,52.0,,0.52,35.36
2020-04-11,79,52.0,,0.52,41.08
2020-04-12,57,36.0,False,0.36,20.52
2020-04-13,56,36.0,,0.36,20.16
2020-04-14,58,36.0,,0.36,20.88
2020-04-15,54,36.0,,0.36,19.439999999999998
2020-04-16,55,36.0,,0.36,19.8
2020-04-17,49,36.0,,0.36,17.64
2020-04-18,52,36.0,,0.36,18.72
2020-04-19,51,31.0,False,0.31,15.81
2020-04-20,45,31.0,,0.31,13.95
2020-04-21,49,31.0,,0.31,15.19
2020-04-22,49,31.0,,0.31,15.19
2020-04-23,43,31.0,,0.31,13.33
2020-04-24,44,31.0,,0.31,13.64
2020-04-25,49,31.0,,0.31,15.19
2020-04-26,41,30.0,False,0.3,12.299999999999999
2020-04-27,43,30.0,,0.3,12.9
2020-04-28,44,30.0,,0.3,13.2
2020-04-29,47,30.0,,0.3,14.1
2020-04-30,45,30.0,,0.3,13.5
2020-05-01,100,30.0,,0.3,30.0
2020-05-02,91,30.0,,0.3,27.3
2020-05-03,90,26.0,False,0.26,23.400000000000002
2020-05-04,92,26.0,,0.26,23.92
2020-05-05,96,26.0,,0.26,24.96
2020-05-06,83,26.0,,0.26,21.580000000000002
2020-05-07,90,26.0,,0.26,23.400000000000002
2020-05-08,80,26.0,,0.26,20.8
2020-05-09,83,26.0,,0.26,21.580000000000002
2020-05-10,92,25.0,False,0.25,23.0
2020-05-11,87,25.0,,0.25,21.75
