date,Fever_unscaled,Fever_monthly,isPartial,scale,Fever
2020-01-01,84,,,,
2020-01-02,78,,,,
2020-01-03,91,,,,
2020-01-04,100,,,,
2020-01-05,91,41.0,False,0.41,37.309999999999995
2020-01-06,87,41.0,,0.41,35.669999999999995
2020-01-07,89,41.0,,0.41,36.489999999999995
2020-01-08,80,41.0,,0.41,32.8
2020-01-09,78,41.0,,0.41,31.979999999999997
2020-01-10,75,41.0,,0.41,30.749999999999996
2020-01-11,86,41.0,,0.41,35.26
2020-01-12,83,42.0,False,0.42,34.86
2020-01-13,87,42.0,,0.42,36.54
2020-01-14,87,42.0,,0.42,36.54
2020-01-15,83,42.0,,0.42,34.86
2020-01-16,86,42.0,,0.42,36.12
2020-01-17,81,42.0,,0.42,34.019999999999996
2020-01-18,86,42.0,,0.42,36.12
2020-01-19,87,42.0,False,0.42,36.54
2020-01-20,84,42.0,,0.42,35.28
2020-01-21,93,42.0,,0.42,39.059999999999995
2020-01-22,86,42.0,,0.42,36.12
2020-01-23,90,42.0,,0.42,37.8
2020-01-24,87,42.0,,0.42,36.54
2020-01-25,95,42.0,,0.42,39.9
2020-01-26,100,47.0,False,0.47,47.0
2020-01-27,92,47.0,,0.47,43.239999999999995
2020-01-28,98,47.0,,0.47,46.059999999999995
2020-01-29,100,47.0,,0.47,47.0
2020-01-30,96,47.0,,0.47,45.12
2020-01-31,92,47.0,,0.47,43.239999999999995
2020-02-01,95,47.0,,0.47,44.65
2020-02-02,79,46.0,False,0.46,36.34
2020-02-03,83,46.0,,0.46,38.18
2020-02-04,90,46.0,,0.46,41.4
2020-02-05,81,46.0,,0.46,37.260000000000005
2020-02-06,95,46.0,,0.46,43.7
2020-02-07,85,46.0,,0.46,39.1
2020-02-08,91,46.0,,0.46,41.86
2020-02-09,100,46.0,False,0.46,46.0
2020-02-10,84,46.0,,0.46,38.64
2020-02-11,86,46.0,,0.46,39.56
2020-02-12,90,46.0,,0.46,41.4
2020-02-13,82,46.0,,0.46,37.72
2020-02-14,74,46.0,,0.46,34.04
2020-02-15,91,46.0,,0.46,41.86
2020-02-16,90,42.0,False,0.42,37.8
2020-02-17,83,42.0,,0.42,34.86
2020-02-18,91,42.0,,0.42,38.22
2020-02-19,85,42.0,,0.42,35.699999999999996
2020-02-20,72,42.0,,0.42,30.24
2020-02-21,77,42.0,,0.42,32.339999999999996
2020-02-22,69,42.0,,0.42,28.98
2020-02-23,86,44.0,False,0.44,37.84
2020-02-24,80,44.0,,0.44,35.2
2020-02-25,88,44.0,,0.44,38.72
2020-02-26,85,44.0,,0.44,37.4
2020-02-27,85,44.0,,0.44,37.4
2020-02-28,84,44.0,,0.44,36.96
2020-02-29,86,44.0,,0.44,37.84
2020-03-01,44,49.0,False,0.49,21.56
2020-03-02,42,49.0,,0.49,20.58
2020-03-03,44,49.0,,0.49,21.56
2020-03-04,44,49.0,,0.49,21.56
2020-03-05,45,49.0,,0.49,22.05
2020-03-06,45,49.0,,0.49,22.05
2020-03-07,50,49.0,,0.49,24.5
2020-03-08,46,72.0,False,0.72,33.12
2020-03-09,53,72.0,,0.72,38.16
2020-03-10,58,72.0,,0.72,41.76
2020-03-11,60,72.0,,0.72,43.199999999999996
2020-03-12,73,72.0,,0.72,52.559999999999995
2020-03-13,78,72.0,,0.72,56.16
2020-03-14,93,72.0,,0.72,66.96
2020-03-15,91,100.0,False,1.0,91.0
2020-03-16,99,100.0,,1.0,99.0
2020-03-17,99,100.0,,1.0,99.0
2020-03-18,94,100.0,,1.0,94.0
2020-03-19,100,100.0,,1.0,100.0
2020-03-20,88,100.0,,1.0,88.0
2020-03-21,82,100.0,,1.0,82.0
2020-03-22,87,88.0,False,0.88,76.56
2020-03-23,80,88.0,,0.88,70.4
2020-03-24,85,88.0,,0.88,74.8
2020-03-25,86,88.0,,0.88,75.68
2020-03-26,82,88.0,,0.88,72.16
2020-03-27,71,88.0,,0.88,62.48
2020-03-28,77,88.0,,0.88,67.76
2020-03-29,72,69.0,False,0.69,49.67999999999999
2020-03-30,67,69.0,,0.69,46.23
2020-03-31,68,69.0,,0.69,46.919999999999995
2020-04-01,90,69.0,,0.69,62.099999999999994
2020-04-02,100,69.0,,0.69,69.0
2020-04-03,87,69.0,,0.69,60.029999999999994
2020-04-04,83,69.0,,0.69,57.269999999999996
2020-04-05,84,57.0,False,0.57,47.879999999999995
2020-04-06,85,57.0,,0.57,48.449999999999996
2020-04-07,73,57.0,,0.57,41.61
2020-04-08,76,57.0,,0.57,43.31999999999999
2020-04-09,78,57.0,,0.57,44.459999999999994
2020-04-10,68,57.0,,0.57,38.76
2020-04-11,62,57.0,,0.57,35.339999999999996
2020-04-12,61,42.0,False,0.42,25.619999999999997
2020-04-13,59,42.0,,0.42,24.779999999999998
2020-04-14,61,42.0,,0.42,25.619999999999997
2020-04-15,62,42.0,,0.42,26.04
2020-04-16,57,42.0,,0.42,23.939999999999998
2020-04-17,55,42.0,,0.42,23.099999999999998
2020-04-18,63,42.0,,0.42,26.459999999999997
2020-04-19,56,41.0,False,0.41,22.959999999999997
2020-04-20,54,41.0,,0.41,22.139999999999997
2020-04-21,55,41.0,,0.41,22.549999999999997
