date,mask_unscaled,mask_monthly,isPartial,scale,mask
2020-01-01,50,,,,
2020-01-02,49,,,,
2020-01-03,46,,,,
2020-01-04,52,,,,
2020-01-05,49,9.0,False,0.09,4.41
2020-01-06,48,9.0,,0.09,4.32
2020-01-07,46,9.0,,0.09,4.14
2020-01-08,47,9.0,,0.09,4.2299999999999995
2020-01-09,46,9.0,,0.09,4.14
2020-01-10,45,9.0,,0.09,4.05
2020-01-11,49,9.0,,0.09,4.41
2020-01-12,51,9.0,False,0.09,4.59
2020-01-13,50,9.0,,0.09,4.5
2020-01-14,46,9.0,,0.09,4.14
2020-01-15,47,9.0,,0.09,4.2299999999999995
2020-01-16,43,9.0,,0.09,3.8699999999999997
2020-01-17,44,9.0,,0.09,3.96
2020-01-18,49,9.0,,0.09,4.41
2020-01-19,51,12.0,False,0.12,6.12
2020-01-20,49,12.0,,0.12,5.88
2020-01-21,51,12.0,,0.12,6.12
2020-01-22,49,12.0,,0.12,5.88
2020-01-23,60,12.0,,0.12,7.199999999999999
2020-01-24,67,12.0,,0.12,8.04
2020-01-25,82,12.0,,0.12,9.84
2020-01-26,93,19.0,False,0.19,17.67
2020-01-27,97,19.0,,0.19,18.43
2020-01-28,97,19.0,,0.19,18.43
2020-01-29,87,19.0,,0.19,16.53
2020-01-30,96,19.0,,0.19,18.240000000000002
2020-01-31,100,19.0,,0.19,19.0
2020-02-01,40,19.0,,0.19,7.6
2020-02-02,36,15.0,False,0.15,5.3999999999999995
2020-02-03,34,15.0,,0.15,5.1
2020-02-04,29,15.0,,0.15,4.35
2020-02-05,26,15.0,,0.15,3.9
2020-02-06,29,15.0,,0.15,4.35
2020-02-07,29,15.0,,0.15,4.35
2020-02-08,31,15.0,,0.15,4.6499999999999995
2020-02-09,30,13.0,False,0.13,3.9000000000000004
2020-02-10,26,13.0,,0.13,3.38
2020-02-11,27,13.0,,0.13,3.5100000000000002
2020-02-12,27,13.0,,0.13,3.5100000000000002
2020-02-13,27,13.0,,0.13,3.5100000000000002
2020-02-14,24,13.0,,0.13,3.12
2020-02-15,28,13.0,,0.13,3.64
2020-02-16,26,12.0,False,0.12,3.12
2020-02-17,26,12.0,,0.12,3.12
2020-02-18,24,12.0,,0.12,2.88
2020-02-19,23,12.0,,0.12,2.76
2020-02-20,27,12.0,,0.12,3.2399999999999998
2020-02-21,26,12.0,,0.12,3.12
2020-02-22,28,12.0,,0.12,3.36
2020-02-23,29,33.0,False,0.33,9.57
2020-02-24,32,33.0,,0.33,10.56
2020-02-25,50,33.0,,0.33,16.5
2020-02-26,100,33.0,,0.33,33.0
2020-02-27,99,33.0,,0.33,32.67
2020-02-28,89,33.0,,0.33,29.37
2020-02-29,76,33.0,,0.33,25.080000000000002
2020-03-01,40,23.0,False,0.23,9.200000000000001
2020-03-02,41,23.0,,0.23,9.43
2020-03-03,37,23.0,,0.23,8.51
2020-03-04,32,23.0,,0.23,7.36
2020-03-05,33,23.0,,0.23,7.590000000000001
2020-03-06,31,23.0,,0.23,7.13
2020-03-07,31,23.0,,0.23,7.13
2020-03-08,28,23.0,False,0.23,6.44
2020-03-09,28,23.0,,0.23,6.44
2020-03-10,31,23.0,,0.23,7.13
2020-03-11,32,23.0,,0.23,7.36
2020-03-12,43,23.0,,0.23,9.89
2020-03-13,43,23.0,,0.23,9.89
2020-03-14,44,23.0,,0.23,10.120000000000001
2020-03-15,41,35.0,False,0.35,14.35
2020-03-16,42,35.0,,0.35,14.7
2020-03-17,42,35.0,,0.35,14.7
2020-03-18,46,35.0,,0.35,16.099999999999998
2020-03-19,55,35.0,,0.35,19.25
2020-03-20,65,35.0,,0.35,22.75
2020-03-21,92,35.0,,0.35,32.199999999999996
2020-03-22,90,48.0,False,0.48,43.199999999999996
2020-03-23,81,48.0,,0.48,38.879999999999995
2020-03-24,74,48.0,,0.48,35.519999999999996
2020-03-25,67,48.0,,0.48,32.16
2020-03-26,67,48.0,,0.48,32.16
2020-03-27,67,48.0,,0.48,32.16
2020-03-28,75,48.0,,0.48,36.0
2020-03-29,81,99.0,False,0.99,80.19
2020-03-30,76,99.0,,0.99,75.24
2020-03-31,100,99.0,,0.99,99.0
2020-04-01,36,99.0,,0.99,35.64
2020-04-02,43,99.0,,0.99,42.57
2020-04-03,76,99.0,,0.99,75.24
2020-04-04,100,99.0,,0.99,99.0
2020-04-05,70,100.0,False,1.0,70.0
2020-04-06,58,100.0,,1.0,58.0
2020-04-07,50,100.0,,1.0,50.0
2020-04-08,44,100.0,,1.0,44.0
2020-04-09,41,100.0,,1.0,41.0
2020-04-10,41,100.0,,1.0,41.0
2020-04-11,40,100.0,,1.0,40.0
2020-04-12,32,67.0,False,0.67,21.44
2020-04-13,28,67.0,,0.67,18.76
2020-04-14,29,67.0,,0.67,19.43
2020-04-15,32,67.0,,0.67,21.44
2020-04-16,38,67.0,,0.67,25.46
2020-04-17,37,67.0,,0.67,24.790000000000003
2020-04-18,41,67.0,,0.67,27.470000000000002
2020-04-19,35,62.0,False,0.62,21.7
2020-04-20,29,62.0,,0.62,17.98
2020-04-21,29,62.0,,0.62,17.98
2020-04-22,29,62.0,,0.62,17.98
2020-04-23,30,62.0,,0.62,18.6
2020-04-24,28,62.0,,0.62,17.36
2020-04-25,30,62.0,,0.62,18.6
2020-04-26,27,58.0,False,0.58,15.659999999999998
2020-04-27,25,58.0,,0.58,14.499999999999998
2020-04-28,28,58.0,,0.58,16.24
2020-04-29,29,58.0,,0.58,16.82
2020-04-30,28,58.0,,0.58,16.24
2020-05-01,100,58.0,,0.58,57.99999999999999
2020-05-02,100,58.0,,0.58,57.99999999999999
2020-05-03,94,50.0,False,0.5,47.0
2020-05-04,84,50.0,,0.5,42.0
2020-05-05,90,50.0,,0.5,45.0
2020-05-06,90,50.0,,0.5,45.0
2020-05-07,85,50.0,,0.5,42.5
2020-05-08,81,50.0,,0.5,40.5
2020-05-09,91,50.0,,0.5,45.5
2020-05-10,81,47.0,False,0.47,38.07
2020-05-11,80,47.0,,0.47,37.599999999999994
2020-05-12,82,47.0,,0.47,38.54
2020-05-13,82,47.0,,0.47,38.54
2020-05-14,89,47.0,,0.47,41.83
2020-05-15,88,47.0,,0.47,41.36
2020-05-16,90,47.0,,0.47,42.3
2020-05-17,82,44.0,False,0.44,36.08
2020-05-18,77,44.0,,0.44,33.88
2020-05-19,76,44.0,,0.44,33.44
2020-05-20,79,44.0,,0.44,34.76
2020-05-21,83,44.0,,0.44,36.52
2020-05-22,82,44.0,,0.44,36.08
2020-05-23,82,44.0,,0.44,36.08
2020-05-24,75,41.0,False,0.41,30.749999999999996
2020-05-25,71,41.0,,0.41,29.11
2020-05-26,71,41.0,,0.41,29.11
2020-05-27,71,41.0,,0.41,29.11
2020-05-28,72,41.0,,0.41,29.52
2020-05-29,74,41.0,,0.41,30.34
2020-05-30,66,41.0,,0.41,27.06
2020-05-31,62,31.0,False,0.31,19.22
2020-06-01,52,31.0,,0.31,16.12
2020-06-02,52,31.0,,0.31,16.12
2020-06-03,50,31.0,,0.31,15.5
2020-06-04,45,31.0,,0.31,13.95
2020-06-05,48,31.0,,0.31,14.879999999999999
2020-06-06,54,31.0,,0.31,16.74
2020-06-07,50,30.0,False,0.3,15.0
2020-06-08,45,30.0,,0.3,13.5
2020-06-09,47,30.0,,0.3,14.1
