date,Sanitizer_unscaled,Sanitizer_monthly,isPartial,scale,Sanitizer
2020-01-01,25,,,,
2020-01-02,32,,,,
2020-01-03,22,,,,
2020-01-04,31,,,,
2020-01-05,19,1.0,False,0.01,0.19
2020-01-06,36,1.0,,0.01,0.36
2020-01-07,31,1.0,,0.01,0.31
2020-01-08,25,1.0,,0.01,0.25
2020-01-09,31,1.0,,0.01,0.31
2020-01-10,25,1.0,,0.01,0.25
2020-01-11,26,1.0,,0.01,0.26
2020-01-12,22,1.0,False,0.01,0.22
2020-01-13,27,1.0,,0.01,0.27
2020-01-14,32,1.0,,0.01,0.32
2020-01-15,27,1.0,,0.01,0.27
2020-01-16,25,1.0,,0.01,0.25
2020-01-17,34,1.0,,0.01,0.34
2020-01-18,31,1.0,,0.01,0.31
2020-01-19,26,1.0,False,0.01,0.26
2020-01-20,40,1.0,,0.01,0.4
2020-01-21,31,1.0,,0.01,0.31
2020-01-22,46,1.0,,0.01,0.46
2020-01-23,35,1.0,,0.01,0.35000000000000003
2020-01-24,38,1.0,,0.01,0.38
2020-01-25,42,1.0,,0.01,0.42
2020-01-26,42,2.0,False,0.02,0.84
2020-01-27,45,2.0,,0.02,0.9
2020-01-28,73,2.0,,0.02,1.46
2020-01-29,100,2.0,,0.02,2.0
2020-01-30,79,2.0,,0.02,1.58
2020-01-31,73,2.0,,0.02,1.46
2020-02-01,16,2.0,,0.02,0.32
2020-02-02,19,2.0,False,0.02,0.38
2020-02-03,12,2.0,,0.02,0.24
2020-02-04,19,2.0,,0.02,0.38
2020-02-05,15,2.0,,0.02,0.3
2020-02-06,15,2.0,,0.02,0.3
2020-02-07,13,2.0,,0.02,0.26
2020-02-08,15,2.0,,0.02,0.3
2020-02-09,13,2.0,False,0.02,0.26
2020-02-10,17,2.0,,0.02,0.34
2020-02-11,12,2.0,,0.02,0.24
2020-02-12,14,2.0,,0.02,0.28
2020-02-13,13,2.0,,0.02,0.26
2020-02-14,10,2.0,,0.02,0.2
2020-02-15,10,2.0,,0.02,0.2
2020-02-16,9,2.0,False,0.02,0.18
2020-02-17,12,2.0,,0.02,0.24
2020-02-18,12,2.0,,0.02,0.24
2020-02-19,13,2.0,,0.02,0.26
2020-02-20,10,2.0,,0.02,0.2
2020-02-21,13,2.0,,0.02,0.26
2020-02-22,15,2.0,,0.02,0.3
2020-02-23,11,6.0,False,0.06,0.6599999999999999
2020-02-24,13,6.0,,0.06,0.78
2020-02-25,18,6.0,,0.06,1.08
2020-02-26,36,6.0,,0.06,2.16
2020-02-27,52,6.0,,0.06,3.12
2020-02-28,66,6.0,,0.06,3.96
2020-02-29,100,6.0,,0.06,6.0
2020-03-01,12,50.0,False,0.5,6.0
2020-03-02,25,50.0,,0.5,12.5
2020-03-03,32,50.0,,0.5,16.0
2020-03-04,39,50.0,,0.5,19.5
2020-03-05,48,50.0,,0.5,24.0
2020-03-06,54,50.0,,0.5,27.0
2020-03-07,58,50.0,,0.5,29.0
2020-03-08,50,100.0,False,1.0,50.0
2020-03-09,57,100.0,,1.0,57.0
2020-03-10,63,100.0,,1.0,63.0
2020-03-11,69,100.0,,1.0,69.0
2020-03-12,100,100.0,,1.0,100.0
2020-03-13,95,100.0,,1.0,95.0
2020-03-14,87,100.0,,1.0,87.0
2020-03-15,69,69.0,False,0.69,47.61
2020-03-16,58,69.0,,0.69,40.019999999999996
2020-03-17,53,69.0,,0.69,36.57
